Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
1	Future Track Running Club	55	"30125 Agoura Road, Suite A, Agoura Hills, CA 91301"	(818) 991-4786	FutureTrack@aol.com	http://futuretrackrunningclub.com/
2	Mt.Diablo Heat	32	"200 Shantilly Court, Alamo, CA 94507"	(925) 461-2573	team-gray@comcast.net	http://www.mtdiabloheat.com/
3	Watsonville Kids Running Club	11	"395 Sea Ridge Rd Apt. 4, Aptos, CA 95003"	(831) 227-4873	info@watsonvillerunning.org	www.watsonvillerunning.org
4	Six Rivers Running Club	250	"P.O. Box 214, Arcata, CA 95518"	(707) 362-9429	ygk1@humboldt.edu	http://www.6rrc.com/
5	Team IBProFUN	1	"2808 Fordham, Bakersfield, CA 93305"	(661) 889-3195	donavon53@hotmail.com	N/A
6	A Runner's Mind	20	"1199 Howard Ave., Burlingame, CA 94010"	(650) 393-5952	jenny@arunnersmind.com	N/A
7	Santa Cruz Track Club	125	"P.O. Box 1803, Capitola, CA 95010"	(831) 688-1800 x25	cristy@dstcpas.com	http://www.santacruztrackclub.com/
8	Carlsbad Running Club	10	"2153 Whisper Wind LN, Carlsbad, CA 92008"	(732) 691-2798	N/A	N/A
9	In Motion Fit	400	"6116 Innovation Way, Carlsbad, CA 92009"	(760) 692-2900	katie@inmotionfit.com	http://www.inmotionevents.com/
10	Sierra TrailBlazers Running Club	69	PO Box 1811	(530) 870-4627	strc@nccn.net	http://nccn.net/~strc/
11	Chico Running Club	75	"PO Box 1182, Chico, CA 95927"	(530) 893-0859	info@chicorunningclub.org	http://www.chicorunningclub.org/
12	Inland Empire Running Club	375	"PO Box 3093, Chino Hills, CA 91709"	(626) 617-4745	kitahara@kennedycorp.com	http://www.ierunningclub.com/
13	So. Cal Ultra Lunatics (SCUL's)	15	"1439 Elmwood Court, Chula Vista, CA 91915"	(858) 568-8723	run.walk.run.sandiego@gmail.com	N/A
14	Pelican Inn Track Club	33	"659 Redwood Ave, Corte Madera, CA 94925"	(415) 927-4416	N/A	N/A
15	Southern California Road Runners of Walnut	21	"20332 E. Calora St., Covina, CA 91724"	(626) 622-8569	igarcia@telepacific.com	http://www.roadrunnersofwalnut.org/
16	Golden Valley Harriers	234	"P.O. Box 454, Davis, CA 95616"	(530) 756-2977	unileee@yahoo.com	http://www.goldenvalleyharriers.org/
17	Charlie Alewine Racing	30	"3245 Diamond Bar Blvd., #136, Diamond Bar, CA 91765"	(909) 319-8492	charliealewine@gmail.com	N/A
18	Running Zone Running Club	32	"8931 Springhurst Dr, Elk Grove, CA 95624"	(916) 812-4418	N/A	N/A
19	Trail Run Events aka UltraLadies	22	"PO Box 17900, Encino, CA 91416"	(818) 591-1862	ultraladies@yahoo.com	http://www.ultraladies.com/
20	North County Roadrunners	27	"4116 Oak Island Lane, FALLBROOK, CA 92028"	(760) 723-3257	joecrosswhite983@roadrunner.com	www.roadrunner.com
21	Sacramento Running Association	200	"120 Ponderosa Court, Folsom, CA 95630"	(916) 983-4622	runcim@aol.com	http://runcim.org/
22	"Sierra Challenge Express, Inc."	250	"9447 N. Fort Washington #106, Fresno, CA 93730"	(559) 706-7827	runnbike@gmail.com	http://www.runsierra.org/
23	Sierra Running Company	100	"9447 N. Fort Washington Road, Suite 106, Fresno, CA 93730"	(559) 433-6750	aaron@sierrarunco.com	http://www.sierrarunco.com/
24	Team Trkac	30	"101 W. McKnight Way, Suite C, Grass Valley, CA 95949"	(530) 274-4422	mark@trkac.com	http://www.trkac.com/
25	World Runners	15	"912 Via Casitas, GREENBRAE, CA 94904"	(408) 509-1911	emil@worldrunners.org	http://www.worldrunners.org/
26	South Coast Roadrunners	190	"P.O. Box 4733, Irvine, CA 92612"	(657) 278-3835	scrr-info@cox.net	http://www.roadrunners.org/
27	Desert Cities Track Club	25	"P.O. Box 1215, La Quinta, CA 92247"	(760) 564-3501	dctrackclub@aol.com	http://www.desertcitiestrackclub.com/
28	"High Desert Runners, Inc."	70	"PO Box 1714, Lancaster, CA 93539-1714"	(661) 256-9190	runner@highdesertrunners.org	http://www.highdesertrunners.org/
29	Bay Area Ultrarunners	120	"57 Meadowood Drive, Larkspur, CA 94939"	(510) 653-5271	fitzpa@comcast.net	N/A
30	Loma Linda Lopers Running and Fitness Club	13	"PO Box 495, Loma Linda, CA 92354"	(909) 558-8136	info2@lopersclub.org	http://www.lopersclub.org/
31	Lompoc Valley Distance Club	50	"PO Box 694, Lompoc, CA 93438"	(805) 736-7122	nperry3@verizon.net	http://www.impulse.net/~lvdc/
32	A Running Experience Club	480	"552 Bellflower Blvd #105, Long Beach, CA 90814"	(562) 252-6462	edrahl@yahoo.com	http://www.arec-lb.com/
33	Shoreline Frontrunners of Long Beach	103	"P.O. Box 90774, LONG BEACH, CA 90809"	(562) 252-0218	sfr-info@shorelinefrontrunners.org	http://www.shorelinefrontrunners.org/
34	Team Runners High	100	"5855 Naples Plaza, Suite 300,Long Beach, CA 90803"	(562) 987-2100	bobrice4@verizon.net	http://www.teamrunnershigh.org/
35	The Mighty Youth Runners	20	"207 Mountain View Ave, Los Altos, CA 94024"	(650) 422-4496	jltellefsen@yahoo.com	N/A
36	Los Angeles Frontrunners	220	"2870 Los Feliz Place, Los Angeles, CA 90039"	(323) 819-8819	lafrontrunners@gmail.com	http://www.lafrontrunners.com/
37	Mammoth Track Club	42	"PO Box 5068, Mammoth Lakes, CA 93546"	(760) 937-2406	andrew@coachkastor.com	http://www.mammothtrackclub.com/
38	Trail Runners Club	61	"1200 11th Street, Manhattan Beach, CA 90266"	(310) 459-3757	stan@trailrunnersclub.com	http://www.trailrunnersclub.com/
39	Merced Running Club	60	"PO Box 3710, Merced, CA 95344"	N/A	Webmaster@MercedRunningClub.com	http://www.mercedrunningclub.com/
40	Lake County Milers	142	"PO Box 490, Middletown, CA 95461"	(707) 944-4617	jmburnett2@mchsi.com	http://www.lakecountymilers.com/
41	Iguanas	30	"402 Pine St #2, Mill Valley, CA 94941"	(415) 823-2718	sherilyna2003@yahoo.com	http://theiguanas.org/
42	Mission Peak Striders	46	"2140 Devon Place, Milpitas, CA 95035"	(408) 586-9429	vdfinck@comcast.net	N/A
43	Beat By A Girl	21	"25481 Jacaranda Ct, Mission Viejo, CA 92691"	(949) 683-7599	info@beatbyagirl.us	http://www.beatbyagirl.us/
44	Dusty Bottoms Trail Runners	26	"1221 Adel St, Modesto, CA 95350"	(209) 614-0093	dustybottomstrailrunners@gmail.com	http://www.dustybottomstrailrunners.com/
45	ShadowChase Running Club	471	"406 N. Santa Rosa Ave, Modesto, CA 95352"	(209) 524-7110	info@shadowchase.org	http://www.shadowchase.org/
46	Moreno Valley Road Runners Club	N/A	"12237 Orchid ln #c, Moreno Valley, CA 92557"	(951) 665-4456	mvrrc@hotmail.com	N/A
47	Moreno Valley Running Club	34	"11875 Pigeon Pass Road Ste B13-117, Moreno Valley, CA 92557"	(951) 242-4007	mvrunningclub@gmail.com	http://mvrunningclub.com/
48	New Basin Blues Running Club	90	"PO Box 280502, Northridge, CA 91328-0502"	N/A	info@newbasinblues.org	http://www.newbasinblues.org/
49	Modesto Police Running Club	5	"531 Mustang Ct., Oakdale, CA 95361"	(209) 505-0287	sjnelson1977@sbcglobal.net	N/A
50	East Bay Front Runners and Walkers	102	"P.O. Box 71722, Oakland, CA 94612"	(510) 525-6745	ebfrw@yahoo.com	http://www.eastbayfrontrunners.org/
51	Go Wow Team - Ask About Running	60	"2740 11th Avenue, Oakland, CA 94606"	(510) 261-8671	go@gowowteam.com	http://gowowteam.com/
52	Students Run Oakland	35	"PO Box 10696, Oakland, CA 94610"	(510) 644-4232	info@sroakland.org	http://www.sroakland.org/
53	Lake Merritt Joggers and Striders	400	"25 El Castillo, Orinda, CA 94563"	(925) 254-1416	jaza@chevron.com	http://www.lmjs.org/
54	Pacifica Runners	58	"PO Box 623, Pacifica, CA 94044"	(415) 305-0406	PacificaRunners@gmail.com	http://www.pacificarunners.webs.com/
55	Palm Springs Front Runners and Walkers	337	"P.O. Box 2184, Palm Spring, CA 92263"	(678) 296-3125	PSFRWinfo@aol.com	http://www.psfr.org/
56	Palo Alto Run Club	213	"25 Newell Dr. #3, Palo Alto, CA 94303"	(408) 737-0992	marathonfrk71@hotmail.com	http://www.parunclub.com/
57	Los Feliz Flyers Running and Adventure Club	100	"530 S LAKE AVENUE #736, Pasadena, CA 91101"	(626) 794-3307	president@losfelizflyers.com	http://www.losfelizflyers.com/
58	Pasadena Pacers	200	"131 N. El Molino Ave., Suite 180, Pasadena, CA 91101"	(626) 792-1221	chiroman10@gmail.com	http://pasadenapacers.org/
59	Sole Runners Full & Half Marathon Training	140	"1600 Fremont Ave., Pasadena, CA 91030"	(818) 414-9181	steve@socalrunning.com	http://www.solerunners.net/
60	US Coast Guard Running Club	25	"342 Bonita Ave, Piedmont, CA 94611"	(206) 313-1343	N/A	N/A
61	"Los Angeles Running Club, Inc."	275	"8117 W. Manchester Avenue, 273, Playa del Rey, CA 90293"	(310) 821-3868	info@larunningclub.com	http://www.larunningclub.com/
62	"Castro Valley Track Club, A Non Profit Corporation"	45	"4900 Hopyard Rd., Suite 260, Pleasanton, CA 94588"	(510) 409-9308	mail@jamesjphillips.com	http://www.cvtrackclub.com/
63	San Diego SoleMates	25	"13586 Quiet Hills Drive, Poway, CA 92064"	(858) 504-4492	dan@sdsolemates.com	http://www.sdsolemates.com/
64	Greater Redondo Youth Running Club	100	"610 Carnelian St., Redondo Beach, CA, 610 Carnelian St. 90277"	(310) 308-1446	waverunners10@gmail.com	http://www.greater-redondo-youth-running-club.com/
65	USA Marathon Training	40	"1741 Goodman Avenue, Redondo Beach, CA 90278"	(310) 406-6256	N/A	http://usamarathontraining.com/index.html
66	Organs 'R' Us	32	"570 El Camino Real, Suite 150-330, Redwood City, CA 94063"	(650) 508-9700	run@TheRelay.com	http://organsrus.org (in progress)
67	Over The Hill Track Club	30	"811 East Kendall Avenue, Ridgecrest, CA 93555"	(760) 382-7753	OTHTCPresident@othtc.com	http://www.othtc.com/
68	Riverside Road Runners	180	"P,O. Box 21038, Riverside, CA 92516"	(951) 788-1251	ramonafierro@yahoo.com	http://riversideroadrunners.com/
69	Train 4 Autism	100	"904 Silver Spur Rd. #373, Rolling Hills Estates, CA 90274"	(800) 794-0831	info@train4autism.org	http://www.train4autism.org/
70	Buffalo Chips Running Club	278	"PO Box 19908, Sacramento, CA 95819"	(916) 524-3624	N/A	http://buffalochips.com/
71	Crocker Riverside Running Club	85	"1132 3rd Ave., Sacramento, CA 95818"	(916) 444-9061	cindynn@sbcglobal.net	http://www.crrunningclub.org/
72	Fit for Girls	35	"P.O. Box 276785, Sacramento, CA 95827-6785"	(916) 267-1457	kellie@fitforgirls.org	http://www.fitforgirls.org/
73	Harey Tortuga Fitness	75	"PO Box 19027, Sacramento, CA 95819"	(916) 548-8209	rich@capitalroadrace.com	http://www.hareytortuga.org/
74	River City Rebels Running Club	74	"200 Hartnell Place, Sacramento, CA 95825"	(916) 428-4687	desiree918@comcast.net	http://rivercityrebelsrunning.com/
75	Wolfpack Mountain Runners	35	"7111 14th Avenue, Sacramento, CA 95820"	(415) 471-0151	female.expat@gmail.com	N/A
76	Salida Christian Running Club	20	"4832 White Willow Road, Salida, CA 95368"	(209) 416-0898	N/A	N/A
77	Half Full Running Club	35	"1591 34th Avenue, San Francisco, CA 94122"	(415) 317-2011	jay@halffullrunning.com	http://www.halffullrunning.com/
78	Mid Peninsula Running Club	29	"3201 Crestmoor Drive, San Bruno, CA 94066"	(650) 583-7747	runmprc@gmail.com	http://www.runmprc.com/
79	San Carlos Run Club	35	"726 Elm St., Unit 2, San Carlos, CA 94070"	(610) 812-9832	N/A	N/A
80	San Diego Track Club	800	"P.O. Box 371232, San Diego, CA 92137-1232"	(858) 750-5245	N/A	http://www.sdtc.com/
81	SURF San Diego Ultra Running Friends	115	"5353 Soledad Mountain Road, San Diego, CA 92109"	(858) 395-6840	ultrakeith@gmail.com	N/A
82	So Cal Pacers	83	"1945 Avenida Monte Vista, San Dimas, CA 91773"	(626) 915-0652	lorna.bjorklund@reynoldspkg.com	http://www.socalpacers.com/
83	Golden Gate Running Club	151	"2932 Diamond St #3, San Francisco, CA 94131"	(415) 952-6068	ggrctreasurer@gmail.com	http://www.goldengaterunningclub.org/
84	Pamakid Runners	187	"PO BOX 27557, San Francisco, CA 94127"	(415) 333-4780	pamakids@pamakids.org	http://www.pamakids.org/
85	Run With A Local	35	"612 Taraval St, San Francisco, CA 94116"	(415) 235-6336	runwithalocal@gmail.com	http://www.runwithalocal.com/
86	San Francisco Dolphin South End Runners (DSE)	359	"PO Box 210482, San Francisco, CA 94121"	(415) 978-0837	dserunclub@aol.com	http://dserunners.com/
87	SFFD	13	"1671-16th Ave, San Francisco, CA, SFFD 94122"	(415) 753-0880	grapenotes@aol.com	N/A
88	San Francisco Road Runners Club	475	"P.O. Box 475224, SAN FRANCSICO, CA 94147"	(510) 525-2115	President@sfrrc.org	http://www.sfrrc.org/
89	Girl Runners Club at FAIS	8	"3441 26th Street, San Fransico, CA 94110"	(415) 420-3960	zastrachan@me.com	N/A
90	San Luis Distance Club	180	"PO box 1134, San Luis Obispo, CA 93406-1134"	(805) 544-9320	sanluisdc@sbcglobal.net	http://www.sldc.org/
91	South Valley Running Club	89	"PO Box 323, San Martin, CA 95046"	(408) 686-1002	info@svrchome.org	http://www.svrchome.org/
92	"Tamalpa Runners, Inc."	495	"PO Box 4132, San Rafael, CA 94913"	(415) 246-3133	tmccarthy@argoinvest.com	http://www.tamalparunners.org/
93	Santa Clarita Runners	200	"PO Box 800298, Santa Clarita, CA 91381"	(661) 296-7304	scrunner@scrunners.org	http://www.scrunners.org/
94	Santa Clarita Track Club	30	"27900 Youngberry Dr., Santa Clarita, CA 91350"	(661) 755-6197	alanbingham@runstorm.org	http://www.runstorm.org/
95	L.A. LEGGERS	1150	"P.O.BOX 761, Santa Monica, CA 90406"	(424) 253-4437	info@laleggers.org	http://www.laleggers.org/
96	Empire Runners Club	539	"2345 Hilltop Ct., Santa Rosa, CA 95404"	(707) 527-9020	Laurie2076@gmail.com	http://www.empirerunners.org/
97	Foot Pursuit Runing Club	10	"4324 Cochran St, Simi Valley, CA 93063"	(805) 578-8786	info@footpursuit.com	http://www.footpursuit.com/
98	"Simi Valley Track Club, Inc. dba Simi Valley Running Rebels, Inc."	100	"P.O. Box 941601, Simi Valley, CA 93094"	(805) 587-7163	riggsinc@sbcglobal.net	http://www.svrebels.com/
