Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
1	Arlington Trotters Running club	82	"1602 E. Waverly Court, Arlington Heights, IL 60004"	(847) 398-0623	ahtrotters@gmail.com	http://www.arlingtontrotters.com/
2	New Leaf Ultra Runs	175	"1102 Horizon Drive, Bartlett, IL 60103"	(847) 385-8889	newleafultra@gmail.com	
3	Belleville Running Club	75	"108 North Jackson Street, Belleville, IL 62220"	(618) 407-5765	toby_trapp@yahoo.com	http://www.bellevillerunningclub.com/
4	Fox Valley RunJunkEes	62	"P.O. Box 26.2, Bristol, IL 60512"	(630) 417-8049	runjunkee@yahoo.com	http://www.runjunkees.com/
5	Second Wind Running Club	445	"P.O. Box 6082, Champaign, IL 61826"	(217) 898-6088	prez@secondwindrunningclub.org	http://www.secondwindrunningclub.org/
6	Chicago Road Runners	20	"5901 N. Kenmore UNit 1, Chicago, IL 60660"	(773) 878-5343	rickardo@sbcglobal.net	N/A
7	Clocktower Runners	50	"1316 W Belmont Ave #1E, Chicago, IL 60657"	(312) 342-1904	Clocktowerrunners@gmail.com	http://www.clocktowerrunners.org/
8	Run For Change	50	"1610 W Fullerton Ave, #409, Chicago, IL 60614"	(773) 255-9835	N/A	N/A
9	Chicago Flyers Track Club	70	"3 Arthur Avenue, Clarendon Hills, IL 60514"	(312) 282-4446	michelle@chicagoflyers.org	http://chicagoflyers.org/
10	Hillstriders Running Club	112	"PO Box 1695, Crystal Lake, IL 60039-1695"	(815) 455-4290	ljaubert@sbcglobal.net	http://www.hillstriders.com/
11	Kennekuk Road Runners	531	"PO Box 1701, Danville, IL 61834"	(217) 469-2134	N/A	http://kennekuk.com/
12	Decatur Running Club	98	"P.O. Box 3397, Decatur, IL 62524"	(217) 864-4290	decaturrunningclub@gmail.com	http://www.decaturrunningclub.com/
13	North Shore Distance Running Club	62	"1407 Country Lane, DEERFIELD, IL 60015"	(847) 971-5595	information@nsdrc.net	http://www.nsdrc.net/
14	Running Away Multisport	10	"430 Lake Cook Rd #1C, Deerfield, IL 60015"	(224) 365-8227	jglassberg@runningawaymultisport.com	http://www.runningawaymultisport.com/
15	Northern Illinois Trail Runners Organization	79	"PO Box 1154, Dekalb, IL 60115"	(815) 757-2876	nitrailrunners@comcast.net	http://www.nitroruns.com/
16	Alton Road Runners	65	"P.O. Box 71, East Alton, IL 62024"	(618) 259-2261	russc1956@yahoo.com	http://altonroadrunners.org/
17	Metro Milers	65	"PO Box 214, Edwardsville, IL 62025"	(618) 444-2967	info@metromilers.com	http://www.metromilers.com/
18	Metro Tri-Club	138	"5104 Old Alton Edwardsville Rd, Edwardsville, IL 62025"	(618) 656-9594	godzilla@teamgodzilla.org	http://teamgodzilla.org/
19	Shady Hollow Trail Runners	28	"350 W Lincoln, El Paso, IL 61738"	(309) 831-6166	N/A	http://www.shtrs.org/
20	Galesburg Road Runners Club	43	"PO Box 1174, Galesburg, IL 61402-1174"	(309) 341-5003	rrca@grrc.net	http://www.grrc.net/
21	Fox River Trail Runners	338	"P.O. Box 371, Geneva, IL 60134"	(630) 673-6060	president@foxrivertrailrunners.org	http://www.frtr.org/
22	Geneva Running Outfitters	15	"221 W. State St, Geneva, IL 60134"	(331) 248-0221	N/A	http://www.genevarunningoutfitters.com/
23	Glen Ellyn Runners	246	"PO Box 485, Glen Ellyn, IL 60138"	(630) 346-3746	president@glenellynrunners.org	http://www.glenellynrunners.org/
24	Grayslake Running Club	130	"P.O Box 14 Grayslake, Grayslake, IL 60030"	(847) 402-1419	grayslakerunning@yahoo.com	http://grayslakerunning.com/
25	Itasca Runners Club	36	"PO Box 973, Itasca, IL 60143"	(312) 622-1468	djm0620@aol.com	http://www.itascarunners.com/
26	"Young Smiles Run Miles, Inc."	22	"354 S. Cherry St., Itasca, IL 60143"	(847) 970-0121	power2choose@rocketmail.com	N/A
27	Alpine Runners	445	"20 Jonathan St, Lake Zurich, IL 60047"	(847) 209-8843	beth@illinoisruns.org	http://www.alpinerunners.com/
28	"Starved Rock Runners, Ltd"	254	"PO Box 1092, LaSalle, IL 61301-3092"	(815) 223-7922	N/A	http://www.starvedrockrunners.org/
29	Lincoln Area Running Club	10	"108 Oak Park Drive, Lincoln, IL 62656"	(618) 406-7021	runninglincoln@gmail.com	http://www.runninglincoln.webs.com/
30	Lisle Windrunners	35	"PO Box 3574, Lisle, IL 60532-7171"	(630) 637-1375	info@windrunners.org	http://www.windrunners.org/
31	River to River Runners	320	"1007 Roberta Dr., Marion, IL 62959"	(618) 993-2689	jmrunninglib@yahoo.com	http://run.olm.net/
32	Run Your Life	24	"PO BOX 1263, McHenry, IL 60051"	(815) 861-5074	runyourlife.director@gmail.com	http://www.runyourlife.org/
33	"Northwest Road Runners, Inc."	10	"1006 W. Isabella, Mt. Prospect, IL 60056"	(847) 975-9527	edmarylopez@gmail.com	N/A
