Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
1	"ARE Event Productions, Inc. d/b/a New Beginnings Running Program"	65	"PO Box 38195, Albany, NY 12203"	(518) 320-8648	N/A	N/A
2	Hellgate Roadrunners	26	"14-41 31st Drive, Astoria, NY 11106"	(718) 721-7844	jared@hrronline.org	http://www.hrronline.org/
3	Triple Cities Runners Club	304	"1241 Cherese Lane, Binghamton, NY 13905"	(607) 797-9242	webmaster@triplecitiesrunnersclub.org	http://www.triplecitiesrunnersclub.org/
4	North Country Toe Path Trekkers	30	"PO Box 380, Boonville, NY 13309"	(315) 942-5468	kstabb@prodigy.net	http://www.lewisfirst.com/toepathtrekkers/
5	Van Cortlandt Track Club	300	"PO Box 341, Bronx, NY 10471"	(914) 423-3143	bpintupi@earthlink.net	http://vctc.org/
6	Dashing Whippets Running Team	250	"111 Steuben Street, 6B, Brooklyn, NY 11205"	(860) 869-5642	dashingwhippets@gmail.com	http://www.dashingwhippets.org/
7	Run4Fun Youth Running Club	55	"162 Bay 13th Street, Brooklyn, NY 11214"	(917) 627-2811	N/A	N/A
8	Fleet Feet Sports Buffalo - FF Racing	300	"2290 Delaware Ave., Suite 400, Buffalo, NY 14216"	(716) 332-3501	dan@fleetfeetbuffalo.com	N/A
9	Greater Buffalo Track Club	50	"221 Lafayette Blvd., Buffalo, NY 14221"	(716) 655-5634	msmago28@yahoo.com	N/A
10	Green Buffalo Runner	15	"150 Admiral Rd., Buffalo, NY 14216"	(716) 258-0126	info@greenbuffalorunner.org	http://www.greenbuffalorunner.org/
11	"Kinderhook Runners, Inc"	20	"PO Box 8, Chatham, NY 12037"	(518) 392-5161	gary@metzwood.com	N/A
12	Rockland Road Runners Club	419	"PO Box 132, Congers, NY 10920"	(845) 634-8723	vp@rocklandroadrunners.org	http://www.rocklandroadrunners.org/
13	Southern Tier Running Club	154	"PO Box 117, Corning, NY 14830"	(607) 974-8569	president@wineglassrunningclub.com	http://www.southerntierrunningclub.com/
14	"Fulmont Roadrunners Club, Inc."	234	"105 Albert Rd, Delanson, NY 12053"	(518) 842-9702	cwaustin@fmrrc.org	http://www.fmrrc.org/
15	Syracuse Chargers Track Club	402	"Syracuse, NY"	(315) 637-6211	nandewhite@aol.com	http://www.syracusechargers.org/
16	Ultrarunning Matters	42	"201 West Genesee St, PMB# 146, Fayetteville, NY 13066"	(315) 415-5562	UM_BOD@yahoogroups.com	http://www.ultrarunningmatters.org/
17	Seneca Lake Running Club	25	"194 Lafayette Avenue, Geneva, NY 14456"	(315) 789-6332	info@senecalakerunning.com	http://www.senecalakerunning.com/
18	The Adirondack Runners	260	"PO Box 2245, Glens Falls, NY 12801"	(518) 798-6956	wvenner@roadrunner.com	http://www.adirondackrunners.org/
19	Westchester Track Club	82	"PO Box 56, Irvington, NY 10533"	(914) 682-0637	westchesterRR@aol.com	http://www.westchestertrack.org/
20	The Finger Lakes Runners Club	255	"P.O. Box 4984, Ithaca, NY 14852-4984"	(607) 279-8006	sbdniagara@gmail.com	http://www.fingerlakesrunners.org/
21	"Kinderhook Runners Club, Inc."	139	"P.O. Box 241, Kinderhook, NY 12106"	(518) 596-3148	kedolge@gmail.com	http://www.kinderhookrunnersclub.com/
22	Onteora Runners Club	200	"75 Dunneman Avenue, Kingston, NY 12401"	(845) 331-2825	kuaiboy47@earthlink.net	http://www.onteorarunners.org/
